# form	assertionUuid	failureType	violations	sha256(sorted concept ids)
# overall a91c088e1bacadd515a2c00a09db3d4613a37fb2f492c431718431240d647135
inferred	351405be-c515-4997-a9cb-a55d83e66ecb	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	37b05158-048c-4d3d-a945-35382367cb55	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	37b05158-048c-4d3d-a945-35382367cb55	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	38b2c23e-446d-4d6d-bd40-409d58c4743a	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	38cf03ea-0326-4049-b930-41728495b33e	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	39431cd0-d243-45cd-902d-1a249e5304bc	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	398f1213-1dc2-4892-967f-7473d354e8ac	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	39ae53c5-6873-42e0-bcd5-eb8bc695c28a	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	39ae53c5-6873-42e0-bcd5-eb8bc695c28a	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	39dde89d-dbb3-45a6-94e3-7c28073ac578	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	39dde89d-dbb3-45a6-94e3-7c28073ac578	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	39f5f1fc-d2e4-45b0-9643-d6ce66a871d6	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	39f5f1fc-d2e4-45b0-9643-d6ce66a871d6	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3aecc712-b931-4079-8da2-6a92ea330b91	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3aecc712-b931-4079-8da2-6a92ea330b91	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3aecd7e7-57f4-464c-9a17-d1126c837836	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3aecd7e7-57f4-464c-9a17-d1126c837836	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3af5b0c7-a293-4330-8101-b61c2421c2dc	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3af5b0c7-a293-4330-8101-b61c2421c2dc	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3c018e5c-e6f1-4d28-8d36-2c48cd1ccb88	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3c018e5c-e6f1-4d28-8d36-2c48cd1ccb88	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3c7fb8c8-2e1e-407a-8c71-1ce330441c3d	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3f047361-51be-450e-95d3-7a6908503f8e	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	3f047361-51be-450e-95d3-7a6908503f8e	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	4143563b-44f1-4a90-99be-e05dea540b7b	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	425a17e2-d6ca-47e0-b973-22777d3b77a2	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	44441f9a-896c-4758-9836-581e8a414fb4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	44441f9a-896c-4758-9836-581e8a414fb4	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	44e0ba37-6d6e-4843-9cf1-45cf11b0c8e6	WARNING	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	45707b0e-8d51-4bf9-8b87-3f5a26ef1cec	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
inferred	473f46f5-5bb8-4691-aa64-0193c8fb314b	ERROR	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
